EmpID ,EMPRESA,RESPONSÁVEL,PROGRESSO,OBSERVAÇÕES,STATUS
60,COMERCIO E TRANSPORTE KASSIO LTDA-Matriz  [0001-11],Bianca,94.44%,"Ver com Tadeu: Caixa negativo e quais relatórios mensais devem ser enviados para cliente
Precisa ser visto, conta de adiantamento de clientes (1980), Subcontratados Pagar (1982) - 14/08/2025",AGOSTO/ PEND Tadeu
181,RODAIR TRATORES E IMPLEMENTOS AGRICOLAS LTDA-Matriz  [0001-04],Bianca,94.44%,Pendências 98 solicitadas - 04/09/2025 - Helena solicitou novamente 18/09/2025,AGOSTO / CONFERIDO
564,BRAND E RINALDI TRANSPORTES LTDA-Matriz  [0001-04],Bianca,94.44%,Ver com Tadeu: Caixa negativo e quais relatórios mensais devem ser enviados para cliente,AGOSTO/ PEND Tadeu
565,SEIVA AGROPECUARIA LTDA-Matriz  [0001-53],Bianca,94.44%,"Lançamentos na 98, já solicitados para cliente",AGOSTO / CONFERIDO
627,SAFRA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA-Matriz  [0001-78],Bianca,94.44%,Helena deve conferir os contratos e aquisições de bens,AGOSTO / CONFERIDO
873,DAL PIZZOL INCORPORADORA LTDA-Matriz  [0001-19],Bianca,94.44%,Lançamento na 98 aguardando Tadeu falar com Valmor ref nf com retençãoque não foi lançada ,AGOSTO/ PEND Tadeu
902,CLICHERIA E FACARIA TANGARA LTDA-Matriz  [0001-30],Bianca,94.44%,Falta extrato CC e conta capital sicoob 01/2025 a 08/2025 - ja foi solicitado diversas vezes,AGOSTO / CONFERIDO
472,SANTA CATARINA PAPEIS LTDA-Matriz  [0001-88],Fernando,88.89%,Ver com Tadeu: Caixa negativo e algumas anotações e contas que ainda precisam ser alinhadas e melhoradas,AGOSTO/ PEND Tadeu
389,POSTO VENETO LTDA-Matriz  [0001-80],Bianca,83.33%,"Adiantamento IPIRANGA e nota em aberto, mas não fecha valores - 08/2025, solicitado para Ana e não tivemos retorno",AGOSTO / CONFERIDO
707,COOPERATIVA DE PEQUENOS AGRICULTORES DE VIDEIRA E IOMERE - COPAVIDI-Matriz  [0001-04],Fernando - Helena,77.78%,Estamos acertando o relatório clientes e fornecedores em aberto que ainda tem divergencias,AGOSTO / CONFERIDO
725,JUMUPEL PAPEIS E EMBALAGENS LTDA-Matriz  [0001-73],Fernando,77.78%,"Empresa conferida parcial, aguardando liberar PIS e Cofins, 
Ver com Tadeu: Não temos retorno do cliente nos relatórios que enviamos.",AGOSTO/ PEND Tadeu
980,BG ATACADISTA LTDA-Matriz  [0001-08],Fernando,0.00%,Sem Movimento,JULHO / CONFERIDO
838,AGUIPEL PAPEIS E EMBALAGENS LTDA-Matriz  [0001-60],Fernando,66.67%,"Demora muito para enviar o movimento, esse mês veio depois do dia 20",AGOSTO / CONFERIDO
764,COMERCIO BG LTDA-Matriz  [0001-24],Fernando,44.44%,"Falta diversos extratos e lançamentos na 98, tudo já solicitado diversas vezes e não temos retorno",AGOSTO / CONFERIDO
955,MHJ TRANSPORTES LTDA-Matriz  [0001-13],Bianca,11.11%,Nao veio documentação mensal 08/2025,JULHO / CONFERIDO
192,VINICOLA PANCERI LTDA-Matriz  [0001-17],Bianca,0.00%,"Ver com Tadeu: o que fazer com relatórios e movimentação entre Altos e Vinicola
",AGOSTO/ PEND Tadeu
553,COOPERATIVA DOS TRANSPORTADORES DE CARGA DA REGIAO DE TANGARA - COOTRATAN-Matriz  [0001-92],Fernando - Helena,0.00%,Estamos acertando o relatório clientes e fornecedores em aberto que ainda tem divergencias,JULHO / CONFERIDO
666,GRANJA MONTE CARVALHO LTDA-Matriz  [0001-90],Bianca,0.00%,Sem Movimento,JULHO / CONFERIDO
748,MECANICA E AUTOPECAS TANGARA DIESEL LTDA - Matriz  [0001-09],Bianca,0.00%,Sem Movimento,JULHO / CONFERIDO
44,NEXUS TRANSPORTADORA LTDA-Matriz  [0001-12],Helena,100.00%,,AGOSTO / BALANCETE FECHADO
180,VALDEMIR BERTE - Matriz  [0001-20],Helena,100.00%,,AGOSTO / BALANCETE FECHADO
