COMPETÊNCIA,Faixa Entrega Final,Qtde,Total,Percentual,%
JUNHO,Até dia 03,6,29,20.69,0.2069
JUNHO,Até dia 05,3,29,10.34,0.10339999999999999
JUNHO,Dia 09,4,29,13.79,0.1379
JUNHO,Dia 10,1,29,3.45,0.0345
JUNHO,Posterior ao dia 10,1,29,3.45,0.0345
JULHO,Até dia 03,2,27,7.41,0.0741
JULHO,Até dia 05,6,27,22.22,0.22219999999999998
JULHO,Posterior ao dia 10,2,27,7.41,0.0741
AGOSTO,Até dia 03,8,34,23.53,0.2353
AGOSTO,Até dia 05,10,34,29.41,0.29410000000000003
AGOSTO,Dia 09,6,34,17.65,0.1765
AGOSTO,Dia 10,2,34,5.88,0.0588
AGOSTO,Posterior ao dia 10,6,34,17.65,0.1765
